Category,Metric,Justification
Profitability,EBITDA Margin,Measures operating efficiency before financing and accounting effects.
Profitability,PAT Margin (Net Profit Margin),Shows the percentage of revenue converted into net profit.
Profitability,Return on Equity (ROE),Measures how efficiently shareholder capital generates profits.
Profitability,Return on Capital Employed (ROCE),Evaluates how effectively the company utilizes its capital.
Profitability,Return on Assets (ROA),Indicates how efficiently assets generate profits.
Leverage,Debt-to-Equity Ratio,Measures financial leverage and capital structure risk.
Leverage,Interest Coverage Ratio,Assesses the company's ability to meet interest obligations.
Efficiency,Total Asset Turnover Ratio,Measures how efficiently assets generate revenue.
Efficiency,Working Capital Turnover Ratio,Evaluates the efficiency of converting working capital into sales.
Valuation,Price-to-Earnings (P/E) Ratio,Represents the market valuation relative to company earnings.
Valuation,Enterprise Value-to-Sales (EV-to-Sales),Measures enterprise value relative to revenue.
Valuation,Price-to-Book (P/B) Ratio,Measures market value relative to the company's book value.
Valuation,Market Capitalization-to-Sales,Evaluates how the market values each unit of company revenue.
Valuation,EPS Yield,Represents earnings generated per unit of market price and serves as the inverse of the P/E ratio.
Valuation,Margin of Safety,Indicates the discount of market price from intrinsic value.
